batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Mayank Agarwal,c Bollinger b Bravo,34.0,33.0,5.0,0.0,103.03,19.43%,,,,,,,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,AB de Villiers,c Vijay b Jakati,11.0,10.0,0.0,1.0,110.0,6.29%,,,,,,,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Luke Pommersbach,b Bollinger,29.0,18.0,2.0,2.0,161.11,16.57%,,,,,,,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Saurabh Tiwary,not out,9.0,6.0,1.0,0.0,150.0,5.14%,,,,,,,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Mohammad Kaif,,,,,,,,,,,,,,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Daniel Vettori*,,,,,,,,,,,,,,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Doug Bollinger,,,,,,,,4.0,0.0,20.0,1.0,5.0,10.0,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Ravichandran Ashwin,,,,,,,,4.0,0.0,33.0,1.0,8.25,10.0,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Dwayne Bravo,,,,,,,,3.0,0.0,28.0,1.0,9.33,10.0,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Shadab Jakati,,,,,,,,4.0,0.0,37.0,1.0,9.25,10.0,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Michael Hussey,lbw b Khan,0.0,4.0,0.0,0.0,0.0,,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Murali Vijay,lbw b Aravind,5.0,5.0,1.0,0.0,100.0,2.82%,,,,,,,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Suresh Raina,not out,73.0,50.0,4.0,6.0,146.0,41.24%,1.0,0.0,8.0,0.0,8.0,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Subramaniam Badrinath,c Aravind b Mithun,34.0,32.0,5.0,0.0,106.25,19.21%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,M S Dhoni,c Mithun b Khan,29.0,19.0,3.0,1.0,152.63,16.38%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Albie Morkel,not out,28.0,10.0,1.0,3.0,280.0,15.82%,4.0,0.0,40.0,0.0,10.0,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Wriddhiman Saha,,,,,,,,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Zaheer Khan,,,,,,,,4.0,0.0,31.0,2.0,7.75,20.0,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Sreenath Aravind,,,,,,,,3.0,0.0,32.0,1.0,10.67,10.0,1,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Abhimanyu Mithun,,,,,,,,3.0,0.0,32.0,1.0,10.67,10.0,1,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Virat Kohli,not out,70.0,44.0,5.0,3.0,159.09,40.00%,2.0,0.0,19.0,0.0,9.5,,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Daniel Vettori,,,,,,,,3.4,0.0,42.0,0.0,11.45,,0,Chennai Super Kings
Royal Challengers Bangalore,Chennai Super Kings,"Wankhede Stadium, Mumbai","24th May, 2011",Chennai Super Kings,Chris Gayle,lbw b Ashwin,8.0,9.0,0.0,1.0,88.89,4.57%,4.0,0.0,19.0,0.0,4.75,,0,Chennai Super Kings
Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chennai","27th May, 2011",Royal Challengers Bangalore,Mayank Agarwal,c Sharma b Pollard,41.0,31.0,4.0,2.0,132.26,22.16%,,,,,,,1,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chennai","27th May, 2011",Royal Challengers Bangalore,Virat Kohli,b Ahmed,8.0,12.0,0.0,0.0,66.67,4.32%,,,,,,,0,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chennai","27th May, 2011",Royal Challengers Bangalore,AB de Villiers,not out,21.0,15.0,0.0,1.0,140.0,11.35%,,,,,,,0,Mumbai Indians
Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chennai","27th May, 2011",Royal Challengers Bangalore,Luke Pommersbach,c Malinga b Patel,4.0,4.0,0.0,0.0,100.0,2.16%,,,,,,,3,Mumbai Indians
