batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Robin Uthappa,c Miller b Patel,42.0,30.0,4.0,2.0,140.0,25.77%,,,,,,,0,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Gautam Gambhir,c Bailey b Johnson,1.0,3.0,0.0,0.0,33.33,0.61%,,,,,,,0,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Manish Pandey,b Patel,21.0,20.0,3.0,0.0,105.0,12.88%,,,,,,,1,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Yusuf Pathan,c Miller b Karanveer Singh,20.0,18.0,2.0,1.0,111.11,12.27%,,,,,,,0,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Ryan ten Doeschate,c Vohra b Johnson,17.0,10.0,0.0,2.0,170.0,10.43%,,,,,,,0,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Suryakumar Yadav,b Karanveer Singh,20.0,14.0,3.0,1.0,142.86,12.27%,,,,,,,0,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Parvinder Awana,,,,,,,,4.0,0.0,33.0,0.0,8.25,,0,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Virender Sehwag,c Shakib Al Hasan b UT Yadav,2.0,3.0,0.0,0.0,66.67,1.48%,,,,,,,0,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Manan Vohra,c UT Yadav b Morkel,26.0,19.0,0.0,3.0,136.84,19.26%,,,,,,,1,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Wriddhiman Saha,c UT Yadav b Morkel,35.0,31.0,2.0,2.0,112.9,25.93%,,,,,,,0,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Glenn Maxwell,lbw b UT Yadav,6.0,9.0,1.0,0.0,66.67,4.44%,,,,,,,0,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,David Miller,b Chawla,8.0,12.0,0.0,0.0,66.67,5.93%,,,,,,,3,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Axar Patel,run out,2.0,2.0,0.0,0.0,100.0,1.48%,4.0,1.0,11.0,2.0,2.75,20.0,0,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,George Bailey,c Pandey b UT Yadav,26.0,17.0,1.0,2.0,152.94,19.26%,,,,,,,1,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Rishi Dhawan,st â€ Uthappa b Shakib Al Hasan,14.0,15.0,0.0,1.0,93.33,10.37%,4.0,0.0,44.0,0.0,11.0,,0,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Mitchell Johnson,not out,10.0,11.0,0.0,1.0,90.91,7.41%,4.0,0.0,31.0,2.0,7.75,20.0,0,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Karanveer Singh,not out,1.0,1.0,0.0,0.0,100.0,0.74%,4.0,0.0,40.0,3.0,10.0,30.0,0,Kolkata Knight Riders
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Morne Morkel,,,,,,,,4.0,0.0,23.0,2.0,5.75,20.0,0,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Umesh Yadav,,,,,,,,4.0,0.0,13.0,3.0,3.25,30.0,0,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Sunil Narine,run out,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,30.0,0.0,7.5,,0,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Shakib Al Hasan,c Miller b Karanveer Singh,18.0,16.0,2.0,0.0,112.5,11.04%,4.0,0.0,43.0,1.0,10.75,10.0,1,Kings XI Punjab
Kolkata Knight Riders,Kings XI Punjab,"Eden Gardens, Kolkata","28th May, 2014",Kolkata Knight Riders,Piyush Chawla,not out,17.0,9.0,3.0,0.0,188.89,10.43%,4.0,0.0,23.0,1.0,5.75,10.0,0,Kings XI Punjab
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,Virender Sehwag,c du Plessis b Nehra,122.0,58.0,12.0,8.0,210.34,53.98%,,,,,,,1,Chennai Super Kings
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,Manan Vohra,c Raina b Pandey,34.0,31.0,1.0,2.0,109.68,15.04%,,,,,,,0,Chennai Super Kings
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,David Miller,run out,38.0,19.0,5.0,1.0,200.0,16.81%,,,,,,,0,Chennai Super Kings
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,George Bailey,b Nehra,1.0,2.0,0.0,0.0,50.0,0.44%,,,,,,,1,Chennai Super Kings
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,Wriddhiman Saha,c Smith b Sharma,6.0,4.0,0.0,1.0,150.0,2.65%,,,,,,,0,Chennai Super Kings
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,Ashish Nehra,,,,,,,,4.0,0.0,51.0,2.0,12.75,20.0,0,Kings XI Punjab
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,Ishwar Pandey,,,,,,,,4.0,0.0,35.0,1.0,8.75,10.0,0,Kings XI Punjab
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,Dwayne Smith,b Sandeep Sharma,7.0,11.0,0.0,0.0,63.64,3.47%,,,,,,,1,Kings XI Punjab
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,Faf du Plessis,c Bailey b Johnson,0.0,1.0,0.0,0.0,0.0,,,,,,,,1,Kings XI Punjab
Kings XI Punjab,Chennai Super Kings,"Wankhede Stadium, Mumbai","30th May, 2014",Kings XI Punjab,Suresh Raina,run out,87.0,25.0,12.0,6.0,348.0,43.07%,,,,,,,2,Kings XI Punjab
