batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Brendon McCullum,c Warner b Negi,31.0,36.0,2.0,1.0,86.11,19.14%,,,,,,,2,Delhi Daredevils
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Gautam Gambhir,run out,32.0,16.0,3.0,2.0,200.0,19.75%,,,,,,,1,Delhi Daredevils
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Yusuf Pathan,not out,40.0,21.0,3.0,2.0,190.48,24.69%,,,,,,,0,Delhi Daredevils
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Laxmi Shukla,not out,24.0,11.0,3.0,1.0,218.18,14.81%,,,,,,,0,Delhi Daredevils
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Debabrata Das,,,,,,,,,,,,,,0,Delhi Daredevils
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Varun Aaron,,,,,,,,4.0,0.0,48.0,0.0,12.0,,0,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,David Warner,c â€ McCullum b Shakib Al Hasan,7.0,6.0,0.0,1.0,116.67,4.86%,,,,,,,1,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Virender Sehwag,c â€ McCullum b Balaji,10.0,7.0,1.0,0.0,142.86,6.94%,,,,,,,0,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Naman Ojha,c Gambhir b Bhatia,28.0,28.0,4.0,1.0,100.0,19.44%,,,,,,,1,Kolkata Knight Riders
Kolkata Knight Riders,Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune","22nd May, 2012",Kolkata Knight Riders,Mahela Jayawardene,st â€ McCullum b Iqbal Abdulla,40.0,33.0,6.0,0.0,121.21,27.78%,,,,,,,0,Kolkata Knight Riders
