batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Aaron Finch,c Gayle b Iqbal Abdulla,4.0,6.0,1.0,0.0,66.67,2.53%,,,,,,,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Brendon McCullum,c de Villiers b Iqbal Abdulla,1.0,4.0,0.0,0.0,25.0,0.63%,,,,,,,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Suresh Raina,c Aravind b Watson,1.0,9.0,0.0,0.0,11.11,0.63%,,,,,,,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Dinesh Karthik,b Jordan,26.0,30.0,2.0,0.0,86.67,16.46%,,,,,,,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Eklavya Dwivedi,c Kohli b Watson,19.0,9.0,1.0,2.0,211.11,12.03%,,,,,,,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Sreenath Aravind,,,,,,,,3.0,0.0,13.0,0.0,4.33,,1,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Chris Jordan,,,,,,,,4.0,0.0,26.0,2.0,6.5,20.0,0,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Yuzvendra Chahal,,,,,,,,4.0,0.0,42.0,1.0,10.5,10.0,0,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Chris Gayle,b Kulkarni,9.0,12.0,2.0,0.0,75.0,5.66%,,,,,,,2,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Virat Kohli,b Kulkarni,0.0,2.0,0.0,0.0,0.0,,,,,,,,2,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,AB de Villiers,not out,79.0,47.0,5.0,5.0,168.09,49.69%,,,,,,,1,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,KL Rahul,c Smith b Kulkarni,0.0,1.0,0.0,0.0,0.0,,,,,,,,0,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Shane Watson,c Smith b Jadeja,1.0,6.0,0.0,0.0,16.67,0.63%,4.0,0.0,29.0,4.0,7.25,40.0,0,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Sachin Baby,c Jakati b Kulkarni,0.0,3.0,0.0,0.0,0.0,,,,,,,,0,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Stuart Binny,lbw b Jadeja,21.0,15.0,2.0,1.0,140.0,13.21%,1.0,0.0,4.0,0.0,4.0,,0,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Iqbal Abdulla,not out,33.0,25.0,3.0,1.0,132.0,20.75%,4.0,0.0,38.0,2.0,9.5,20.0,0,Gujarat Lions
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Praveen Kumar,,,,,,,,3.2,0.0,32.0,0.0,9.6,,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Dhawal Kulkarni,run out,10.0,4.0,2.0,0.0,250.0,6.33%,4.0,1.0,14.0,4.0,3.5,40.0,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Ravindra Jadeja,c Gayle b Watson,3.0,7.0,0.0,0.0,42.86,1.90%,4.0,0.0,21.0,2.0,5.25,20.0,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Shadab Jakati,not out,1.0,2.0,0.0,0.0,50.0,0.63%,3.0,0.0,45.0,0.0,15.0,,1,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Dwayne Bravo,b Watson,8.0,6.0,1.0,0.0,133.33,5.06%,3.0,0.0,26.0,0.0,8.67,,0,Royal Challengers Bangalore
Gujarat Lions,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru, Bangalore","24th May, 2016",Royal Challengers Bangalore,Dwayne Smith,c Kohli b Chahal,73.0,41.0,5.0,6.0,178.05,46.20%,1.0,0.0,14.0,0.0,14.0,,2,Royal Challengers Bangalore
Sunrisers Hyderabad,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi","25th May, 2016",Sunrisers Hyderabad,David Warner,b Kuldeep Yadav,28.0,28.0,3.0,0.0,100.0,17.28%,,,,,,,0,Kolkata Knight Riders
