batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Chris Lynn,c & b Gopal,18.0,22.0,2.0,0.0,81.82,10.65%,,,,,,,1,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Robin Uthappa,c & b Gowtham,3.0,7.0,0.0,0.0,42.86,1.78%,,,,,,,0,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Nitish Rana,c Unadkat b Archer,3.0,5.0,0.0,0.0,60.0,1.78%,,,,,,,0,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Dinesh Karthik,c Rahane b Laughlin,52.0,38.0,4.0,2.0,136.84,30.77%,,,,,,,0,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Shubman Gill,c â€ Klaasen b Archer,28.0,17.0,3.0,1.0,164.71,16.57%,,,,,,,0,Rajasthan Royals
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Jofra Archer,,,,,,,,4.0,0.0,33.0,2.0,8.25,20.0,1,Kolkata Knight Riders
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Jaydev Unadkat,,,,,,,,2.0,0.0,33.0,0.0,16.5,,1,Kolkata Knight Riders
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Ish Sodhi,,,,,,,,4.0,0.0,15.0,0.0,3.75,,0,Kolkata Knight Riders
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Shreyas Gopal,,,,,,,,4.0,0.0,34.0,1.0,8.5,10.0,0,Kolkata Knight Riders
Kolkata Knight Riders,Rajasthan Royals,"Eden Gardens, Kolkata","23rd May, 2018",Kolkata Knight Riders,Ben Laughlin,,,,,,,,3.0,0.0,35.0,2.0,11.67,20.0,0,Kolkata Knight Riders
