batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Yashasvi Jaiswal,c â€ Saha b Dayal,3.0,8.0,0.0,0.0,37.5,1.60%,,,,,,,0,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Jos Buttler,run out,89.0,56.0,12.0,2.0,158.93,47.34%,,,,,,,1,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Sanju Samson,c Joseph b Kishore,47.0,26.0,5.0,3.0,180.77,25.00%,,,,,,,1,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Devdutt Padikkal,b Pandya,28.0,20.0,2.0,2.0,140.0,14.89%,,,,,,,0,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Shimron Hetmeyer,c Tewatia b Mohammed Shami,4.0,7.0,0.0,0.0,57.14,2.13%,,,,,,,0,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Riyan Parag,run out,4.0,3.0,0.0,0.0,133.33,2.13%,,,,,,,0,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Mohammed Shami,,,,,,,,4.0,0.0,43.0,1.0,10.75,10.0,0,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Yash Dayal,,,,,,,,4.0,0.0,46.0,1.0,11.5,10.0,0,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Alzarri Joseph,,,,,,,,2.0,0.0,27.0,0.0,13.5,,1,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Rashid Khan,,,,,,,,4.0,0.0,15.0,0.0,3.75,,0,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Sai Kishore,,,,,,,,4.0,0.0,43.0,1.0,10.75,10.0,0,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Wriddhiman Saha,c â€ Samson b Boult,0.0,2.0,0.0,0.0,0.0,,,,,,,,1,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Shubman Gill,run out,35.0,21.0,5.0,1.0,166.67,18.32%,,,,,,,0,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Matthew Wade,c Buttler b McCoy,35.0,30.0,6.0,0.0,116.67,18.32%,,,,,,,0,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Hardik Pandya,not out,40.0,27.0,5.0,0.0,148.15,20.94%,2.0,0.0,14.0,1.0,7.0,10.0,0,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,David Miller,not out,68.0,38.0,3.0,5.0,178.95,35.60%,,,,,,,0,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Rahul Tewatia,,,,,,,,,,,,,,1,Rajasthan Royals
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Trent Boult,,,,,,,,4.0,0.0,38.0,1.0,9.5,10.0,0,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Prasidh Krishna,,,,,,,,3.3,0.0,40.0,0.0,11.43,,0,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Ravichandran Ashwin,not out,2.0,1.0,0.0,0.0,200.0,1.06%,4.0,0.0,40.0,0.0,10.0,,0,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Yuzvendra Chahal,,,,,,,,4.0,0.0,32.0,0.0,8.0,,0,Gujarat Titans
Rajasthan Royals,Gujarat Titans,"Eden Gardens, Kolkata","24th May, 2022",Gujarat Titans,Obed McCoy,,,,,,,,4.0,0.0,40.0,1.0,10.0,10.0,0,Gujarat Titans
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Virat Kohli,c â€ Samson b Prasidh Krishna,7.0,8.0,0.0,1.0,87.5,4.46%,,,,,,,1,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Faf du Plessis,c Ashwin b McCoy,25.0,27.0,3.0,0.0,92.59,15.92%,,,,,,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Rajat Patidar,c Buttler b Ashwin,58.0,42.0,4.0,3.0,138.1,36.94%,,,,,,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Mahipal Lomror,c Ashwin b McCoy,8.0,10.0,0.0,0.0,80.0,5.10%,,,,,,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Dinesh Karthik,c Parag b Prasidh Krishna,6.0,7.0,0.0,0.0,85.71,3.82%,,,,,,,1,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Trent Boult,,,,,,,,4.0,0.0,28.0,1.0,7.0,10.0,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Prasidh Krishna,,,,,,,,4.0,0.0,22.0,3.0,5.5,30.0,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Obed McCoy,,,,,,,,4.0,0.0,23.0,3.0,5.75,30.0,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Ravichandran Ashwin,,,,,,,,4.0,0.0,31.0,1.0,7.75,10.0,2,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Yuzvendra Chahal,,,,,,,,4.0,0.0,45.0,0.0,11.25,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Yashasvi Jaiswal,c Kohli b Hazlewood,21.0,13.0,1.0,2.0,161.54,13.04%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Jos Buttler,not out,106.0,60.0,10.0,6.0,176.67,65.84%,,,,,,,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Sanju Samson,st â€ Karthik b Wanindu Hasaranga,23.0,21.0,1.0,2.0,109.52,14.29%,,,,,,,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Devdutt Padikkal,c â€ Karthik b Hazlewood,9.0,12.0,0.0,0.0,75.0,5.59%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Shimron Hetmeyer,not out,2.0,3.0,0.0,0.0,66.67,1.24%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Riyan Parag,,,,,,,,,,,,,,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Mohammed Siraj,,,,,,,,2.0,0.0,31.0,0.0,15.5,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Josh Hazlewood,not out,1.0,2.0,0.0,0.0,50.0,0.64%,4.0,0.0,23.0,2.0,5.75,20.0,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Glenn Maxwell,c McCoy b Boult,24.0,13.0,1.0,2.0,184.62,15.29%,3.0,0.0,17.0,0.0,5.67,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Shahbaz Ahmed,not out,12.0,8.0,1.0,1.0,150.0,7.64%,2.0,0.0,35.0,0.0,17.5,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Harshal Patel,b McCoy,1.0,2.0,0.0,0.0,50.0,0.64%,3.1,0.0,29.0,0.0,9.16,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Narendra Modi Stadium, Ahmedabad","27th May, 2022",Rajasthan Royals,Wanindu Hasaranga,b Prasidh Krishna,0.0,1.0,0.0,0.0,0.0,,4.0,0.0,26.0,1.0,6.5,10.0,0,Rajasthan Royals
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Virat Kohli,c Mohsin Khan b Avesh Khan,25.0,24.0,2.0,0.0,104.17,12.08%,,,,,,,0,Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Faf du Plessis,c â€ de Kock b Mohsin Khan,0.0,1.0,0.0,0.0,0.0,,,,,,,,1,Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Rajat Patidar,not out,112.0,54.0,12.0,7.0,207.41,54.11%,,,,,,,1,Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Glenn Maxwell,c Lewis b Pandya,9.0,10.0,0.0,1.0,90.0,4.35%,,,,,,,0,Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Mahipal Lomror,c Rahul b Ravi Bishnoi,14.0,9.0,2.0,0.0,155.56,6.76%,,,,,,,0,Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Dinesh Karthik,not out,37.0,23.0,5.0,1.0,160.87,17.87%,,,,,,,0,Lucknow Super Giants
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Mohsin Khan,,,,,,,,4.0,0.0,25.0,1.0,6.25,10.0,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Avesh Khan,,,,,,,,4.0,0.0,44.0,1.0,11.0,10.0,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Lucknow Super Giants,"Eden Gardens, Kolkata","25th May, 2022",Royal Challengers Bangalore,Ravi Bishnoi,,,,,,,,4.0,0.0,45.0,1.0,11.25,10.0,0,Royal Challengers Bangalore
