batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Shikhar Dhawan,run out,12.0,9.0,2.0,0.0,133.33,6.52%,,,,,,,1,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Sachin Tendulkar,c Taylor b Steyn,9.0,9.0,2.0,0.0,100.0,4.89%,,,,,,,0,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Abhishek Nayar,c Kumar b Pietersen,22.0,18.0,2.0,0.0,122.22,11.96%,,,,,,,0,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Ambati Rayudu,c Kallis b Steyn,40.0,38.0,4.0,0.0,105.26,21.74%,,,,,,,2,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Jean-Paul Duminy,c Pietersen b Kumble,3.0,4.0,0.0,0.0,75.0,1.63%,,,,,,,1,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Saurabh Tiwary,not out,52.0,31.0,3.0,4.0,167.74,28.26%,,,,,,,0,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Jacques Kallis,c â€ Rayudu b Malinga,11.0,9.0,2.0,0.0,122.22,7.38%,2.0,0.0,25.0,0.0,12.5,,1,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Rahul Dravid,run out,23.0,22.0,3.0,0.0,104.55,15.44%,,,,,,,0,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Kevin Pietersen,st â€ Rayudu b Harbhajan Singh,19.0,14.0,2.0,0.0,135.71,12.75%,4.0,0.0,20.0,1.0,5.0,10.0,1,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Robin Uthappa,c Dhawan b Pollard,26.0,13.0,2.0,2.0,200.0,17.45%,,,,,,,0,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Ross Taylor,not out,31.0,30.0,1.0,1.0,103.33,20.81%,,,,,,,1,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Virat Kohli,c â€ Rayudu b Pollard,9.0,7.0,1.0,0.0,128.57,6.04%,1.0,0.0,10.0,0.0,10.0,,0,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Manish Pandey,c Duminy b Pollard,5.0,9.0,0.0,0.0,55.56,3.36%,,,,,,,0,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Praveen Kumar,b Harbhajan Singh,1.0,2.0,0.0,0.0,50.0,0.67%,3.0,0.0,29.0,0.0,9.67,,1,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Vinay Kumar,b Malinga,8.0,8.0,0.0,0.0,100.0,5.37%,2.0,0.0,25.0,0.0,12.5,,0,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Dale Steyn,b Fernando,5.0,5.0,1.0,0.0,100.0,3.36%,4.0,0.0,43.0,2.0,10.75,20.0,0,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Anil Kumble,not out,1.0,2.0,0.0,0.0,50.0,0.67%,4.0,0.0,30.0,1.0,7.5,10.0,0,Mumbai Indians
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Zaheer Khan,,,,,,,,4.0,0.0,34.0,0.0,8.5,,0,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Dilhara Fernando,,,,,,,,4.0,0.0,28.0,1.0,7.0,10.0,0,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Lasith Malinga,,,,,,,,4.0,0.0,24.0,2.0,6.0,20.0,0,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Harbhajan Singh,,,,,,,,4.0,0.0,44.0,2.0,11.0,20.0,0,Royal Challengers Bangalore
Mumbai Indians,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai","21st April, 2010",Mumbai Indians,Kieron Pollard,not out,33.0,13.0,1.0,3.0,253.85,17.93%,4.0,0.0,17.0,3.0,4.25,30.0,0,Royal Challengers Bangalore
Chennai Super Kings,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai","22nd April, 2010",Chennai Super Kings,Murali Vijay,lbw b Harris,15.0,10.0,1.0,1.0,150.0,10.56%,,,,,,,2,Deccan Chargers
Chennai Super Kings,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai","22nd April, 2010",Chennai Super Kings,Matthew Hayden,c Symonds b Harris,8.0,9.0,2.0,0.0,88.89,5.63%,,,,,,,0,Deccan Chargers
Chennai Super Kings,Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai","22nd April, 2010",Chennai Super Kings,Subramaniam Badrinath,run out,37.0,41.0,3.0,1.0,90.24,26.06%,,,,,,,0,Deccan Chargers
