batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Gautam Gambhir,c Singh b Harris,0.0,5.0,0.0,0.0,0.0,,,,,,,,0,Deccan Chargers
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,David Warner,c Gibbs b Harris,0.0,1.0,0.0,0.0,0.0,,,,,,,,1,Deccan Chargers
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,AB de Villiers,c â€ Gilchrist b Singh,26.0,21.0,0.0,2.0,123.81,16.99%,,,,,,,0,Deccan Chargers
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Dinesh Karthik,b Harris,9.0,8.0,0.0,1.0,112.5,5.88%,,,,,,,0,Deccan Chargers
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Rajat Bhatia,c Venugopal Rao b Singh,4.0,2.0,1.0,0.0,200.0,2.61%,,,,,,,0,Deccan Chargers
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Ryan Harris,,,,,,,,4.0,1.0,27.0,3.0,6.75,30.0,0,Delhi Daredevils
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,R P Singh,,,,,,,,4.0,0.0,33.0,2.0,8.25,20.0,1,Delhi Daredevils
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Pragyan Ojha,,,,,,,,3.0,0.0,27.0,0.0,9.0,,0,Delhi Daredevils
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Harmeet Singh,,,,,,,,3.0,0.0,15.0,0.0,5.0,,0,Delhi Daredevils
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Adam Gilchrist,c Nannes b Mishra,85.0,35.0,10.0,5.0,242.86,55.19%,,,,,,,1,Delhi Daredevils
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Herschelle Gibbs,b Nehra,0.0,2.0,0.0,0.0,0.0,,,,,,,,1,Delhi Daredevils
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Azharuddin Bilakhia,st â€ Karthik b Mishra,10.0,20.0,0.0,0.0,50.0,6.49%,,,,,,,0,Delhi Daredevils
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Tirumalasetti Suman,not out,24.0,25.0,3.0,0.0,96.0,15.58%,,,,,,,0,Delhi Daredevils
Delhi Daredevils,Deccan Chargers,"SuperSport Park, Centurion","22nd May, 2009",Deccan Chargers,Andrew Symonds,c Warner b Mishra,24.0,15.0,2.0,1.0,160.0,15.58%,3.0,0.0,20.0,1.0,6.67,10.0,0,Delhi Daredevils
