batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Faf du Plessis,c sub b Chahar,6.0,11.0,1.0,0.0,54.55,4.58%,,,,,,,1,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Shane Watson,c J Yadav b KH Pandya,10.0,13.0,2.0,0.0,76.92,7.63%,,,,,,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Suresh Raina,c & b J Yadav,5.0,7.0,1.0,0.0,71.43,3.82%,,,,,,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Murali Vijay,st â€ de Kock b Chahar,26.0,26.0,3.0,0.0,100.0,19.85%,,,,,,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Ambati Rayudu,not out,42.0,37.0,3.0,1.0,113.51,32.06%,,,,,,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,M S Dhoni,not out,37.0,29.0,0.0,3.0,127.59,28.24%,,,,,,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Lasith Malinga,,,,,,,,3.0,0.0,26.0,0.0,8.67,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Rahul Chahar,,,,,,,,4.0,0.0,14.0,2.0,3.5,20.0,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Jayant Yadav,,,,,,,,3.0,0.0,25.0,1.0,8.33,10.0,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Jasprit Bumrah,,,,,,,,4.0,0.0,31.0,0.0,7.75,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Rohit Sharma,lbw b Chahar,4.0,2.0,1.0,0.0,200.0,3.03%,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Quinton de Kock,c du Plessis b Harbhajan Singh,8.0,12.0,2.0,0.0,66.67,6.06%,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Suryakumar Yadav,not out,71.0,54.0,10.0,0.0,131.48,53.79%,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Ishan Kishan,b Imran Tahir,28.0,31.0,1.0,1.0,90.32,21.21%,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Krunal Pandya,c & b Imran Tahir,0.0,1.0,0.0,0.0,0.0,,4.0,0.0,21.0,1.0,5.25,10.0,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Hardik Pandya,not out,13.0,11.0,1.0,0.0,118.18,9.85%,2.0,0.0,13.0,0.0,6.5,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Kieron Pollard,,,,,,,,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Deepak Chahar,,,,,,,,3.3,0.0,30.0,1.0,8.57,10.0,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Harbhajan Singh,,,,,,,,4.0,0.0,25.0,1.0,6.25,10.0,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Ravindra Jadeja,,,,,,,,4.0,0.0,18.0,0.0,4.5,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Dwayne Bravo,,,,,,,,3.0,0.0,25.0,0.0,8.33,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chennai","7th May, 2019",Mumbai Indians,Imran Tahir,,,,,,,,4.0,0.0,33.0,2.0,8.25,20.0,0,Mumbai Indians
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Prithvi Shaw,lbw b Chahar,5.0,6.0,1.0,0.0,83.33,3.40%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Shikhar Dhawan,c â€ Dhoni b Harbhajan Singh,18.0,14.0,3.0,0.0,128.57,12.24%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Colin Munro,c Bravo b Jadeja,27.0,24.0,4.0,0.0,112.5,18.37%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Shreyas Iyer,c Raina b Imran Tahir,13.0,18.0,1.0,0.0,72.22,8.84%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Rishabh Pant,c Bravo b Chahar,38.0,25.0,2.0,1.0,152.0,25.85%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Sherfane Rutherford,c Watson b Harbhajan Singh,10.0,12.0,0.0,1.0,83.33,6.80%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Deepak Chahar,,,,,,,,4.0,0.0,28.0,2.0,7.0,20.0,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Shardul Thakur,,,,,,,,1.0,0.0,13.0,0.0,13.0,,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Harbhajan Singh,,,,,,,,4.0,0.0,31.0,2.0,7.75,20.0,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Ravindra Jadeja,,,,,,,,3.0,0.0,23.0,2.0,7.67,20.0,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Imran Tahir,,,,,,,,4.0,0.0,28.0,1.0,7.0,10.0,1,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Faf du Plessis,c Paul b Boult,50.0,39.0,7.0,1.0,128.21,33.11%,,,,,,,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Shane Watson,c Boult b Mishra,50.0,32.0,3.0,4.0,156.25,33.11%,,,,,,,1,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Suresh Raina,b Patel,11.0,13.0,0.0,0.0,84.62,7.28%,,,,,,,1,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Ambati Rayudu,not out,20.0,20.0,3.0,0.0,100.0,13.25%,,,,,,,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,M S Dhoni,c Paul b Sharma,9.0,9.0,1.0,0.0,100.0,5.96%,,,,,,,1,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Dwayne Bravo,not out,0.0,1.0,1.0,0.0,0.0,,4.0,0.0,19.0,2.0,4.75,20.0,2,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Trent Boult,,,,,,,,4.0,0.0,20.0,1.0,5.0,10.0,1,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Ishant Sharma,not out,10.0,3.0,1.0,1.0,333.33,6.80%,4.0,0.0,28.0,1.0,7.0,10.0,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Axar Patel,c Imran Tahir b Bravo,3.0,6.0,0.0,0.0,50.0,2.04%,4.0,0.0,32.0,1.0,8.0,10.0,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Amit Mishra,not out,6.0,3.0,1.0,0.0,200.0,4.08%,4.0,0.0,21.0,1.0,5.25,10.0,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","10th May, 2019",Chennai Super Kings,Keemo Paul,b Bravo,3.0,7.0,0.0,0.0,42.86,2.04%,3.0,0.0,49.0,0.0,16.33,,2,Chennai Super Kings
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Wriddhiman Saha,c Iyer b Sharma,8.0,9.0,1.0,0.0,88.89,4.94%,,,,,,,2,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Martin Guptill,c Paul b Mishra,36.0,19.0,1.0,4.0,189.47,22.22%,,,,,,,0,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Manish Pandey,c Rutherford b Paul,30.0,36.0,3.0,0.0,83.33,18.52%,,,,,,,0,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Kane Williamson,b Sharma,28.0,27.0,2.0,0.0,103.7,17.28%,,,,,,,0,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Vijay Shankar,c Patel b Boult,25.0,11.0,2.0,2.0,227.27,15.43%,,,,,,,1,Delhi Capitals
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Ishant Sharma,,,,,,,,4.0,0.0,34.0,2.0,8.5,20.0,0,Sunrisers Hyderabad
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Prithvi Shaw,c Shankar b Ahmed,56.0,38.0,6.0,2.0,147.37,33.94%,,,,,,,0,Sunrisers Hyderabad
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Shikhar Dhawan,st â€ Saha b Hooda,17.0,16.0,3.0,0.0,106.25,10.30%,,,,,,,0,Sunrisers Hyderabad
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Shreyas Iyer,c â€ Saha b Ahmed,8.0,10.0,1.0,0.0,80.0,4.85%,,,,,,,1,Sunrisers Hyderabad
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Rishabh Pant,c Mohammad Nabi b Kumar,49.0,21.0,2.0,5.0,233.33,29.70%,,,,,,,1,Sunrisers Hyderabad
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Colin Munro,lbw b Rashid Khan,14.0,13.0,1.0,1.0,107.69,8.48%,,,,,,,0,Sunrisers Hyderabad
Sunrisers Hyderabad,Delhi Capitals,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","8th May, 2019",Delhi Capitals,Axar Patel,c â€ Saha b Rashid Khan,0.0,3.0,0.0,0.0,0.0,,4.0,0.0,30.0,0.0,7.5,,2,Sunrisers Hyderabad
