batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Devdutt Padikkal,b Ferguson,21.0,18.0,2.0,0.0,116.67,15.22%,,,,,,,0,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Virat Kohli,b Narine,39.0,33.0,5.0,0.0,118.18,28.26%,,,,,,,0,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,KS Bharat,c Iyer b Narine,9.0,16.0,0.0,0.0,56.25,6.52%,,,,,,,2,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,AB de Villiers,b Narine,11.0,9.0,1.0,0.0,122.22,7.97%,,,,,,,2,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Shahbaz Ahmed,c Shivam Mavi b Ferguson,13.0,14.0,1.0,0.0,92.86,9.42%,,,,,,,0,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Shivam Mavi,,,,,,,,4.0,0.0,36.0,0.0,9.0,,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Varun Chakravarthy,,,,,,,,4.0,0.0,20.0,0.0,5.0,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Lockie Ferguson,,,,,,,,4.0,0.0,30.0,2.0,7.5,20.0,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Shubman Gill,c de Villiers b Patel,29.0,18.0,4.0,0.0,161.11,20.86%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Venkatesh Iyer,c â€ Bharat b Patel,26.0,30.0,0.0,1.0,86.67,18.71%,,,,,,,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Rahul Tripathi,lbw b Chahal,6.0,5.0,1.0,0.0,120.0,4.32%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Nitish Rana,c de Villiers b Chahal,23.0,25.0,1.0,1.0,92.0,16.55%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Sunil Narine,b Mohammed Siraj,26.0,15.0,0.0,3.0,173.33,18.71%,4.0,0.0,21.0,4.0,5.25,40.0,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Dinesh Karthik,c â€ Bharat b Mohammed Siraj,10.0,12.0,1.0,0.0,83.33,7.19%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Eoin Morgan,not out,5.0,7.0,0.0,0.0,71.43,3.60%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Shakib Al Hasan,not out,9.0,6.0,1.0,0.0,150.0,6.47%,4.0,0.0,24.0,0.0,6.0,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Mohammed Siraj,,,,,,,,4.0,0.0,19.0,2.0,4.75,20.0,0,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,George Garton,not out,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,29.0,0.0,9.67,,0,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Harshal Patel,not out,8.0,6.0,1.0,0.0,133.33,5.80%,4.0,0.0,19.0,2.0,4.75,20.0,0,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Yuzvendra Chahal,,,,,,,,4.0,0.0,16.0,2.0,4.0,20.0,0,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Glenn Maxwell,c Ferguson b Narine,15.0,18.0,1.0,0.0,83.33,10.87%,3.0,0.0,25.0,0.0,8.33,,0,Kolkata Knight Riders
Royal Challengers Bangalore,Kolkata Knight Riders,"Sharjah Cricket Stadium, Sharjah","11th October, 2021",Kolkata Knight Riders,Dan Christian,run out,9.0,8.0,1.0,0.0,112.5,6.52%,1.4,0.0,29.0,0.0,17.4,,0,Kolkata Knight Riders
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Prithvi Shaw,c du Plessis b Jadeja,60.0,34.0,7.0,3.0,176.47,34.88%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Shikhar Dhawan,c â€ Dhoni b Hazlewood,7.0,7.0,1.0,0.0,100.0,4.07%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Shreyas Iyer,c Gaikwad b Hazlewood,1.0,8.0,0.0,0.0,12.5,0.58%,,,,,,,2,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Rishabh Pant,not out,51.0,35.0,3.0,2.0,145.71,29.65%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Shimron Hetmeyer,c Jadeja b Bravo,37.0,24.0,3.0,1.0,154.17,21.51%,,,,,,,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Deepak Chahar,,,,,,,,3.0,0.0,26.0,0.0,8.67,,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Josh Hazlewood,,,,,,,,4.0,0.0,29.0,2.0,7.25,20.0,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Dwayne Bravo,,,,,,,,3.0,0.0,31.0,1.0,10.33,10.0,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Ruturaj Gaikwad,c Patel b Avesh Khan,70.0,50.0,5.0,2.0,140.0,40.46%,,,,,,,1,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Faf du Plessis,b Nortje,1.0,2.0,0.0,0.0,50.0,0.58%,,,,,,,1,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Robin Uthappa,c Iyer b Curran,63.0,44.0,7.0,2.0,143.18,36.42%,,,,,,,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Shardul Thakur,c Iyer b Curran,0.0,1.0,0.0,0.0,0.0,,3.0,0.0,36.0,0.0,12.0,,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Ambati Rayudu,run out,1.0,3.0,0.0,0.0,33.33,0.58%,,,,,,,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Moeen Ali,c Rabada b Curran,16.0,12.0,2.0,0.0,133.33,9.25%,4.0,0.0,27.0,1.0,6.75,10.0,0,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,M S Dhoni,not out,18.0,6.0,3.0,1.0,300.0,10.40%,,,,,,,1,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Ravindra Jadeja,not out,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,23.0,1.0,7.67,10.0,1,Delhi Capitals
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Anrich Nortje,,,,,,,,4.0,0.0,31.0,1.0,7.75,10.0,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Avesh Khan,,,,,,,,4.0,0.0,47.0,1.0,11.75,10.0,0,Chennai Super Kings
Delhi Capitals,Chennai Super Kings,"Dubai International Cricket Stadium, Dubai","10th October, 2021",Chennai Super Kings,Kagiso Rabada,,,,,,,,3.0,0.0,23.0,0.0,7.67,,1,Chennai Super Kings
