batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Quinton de Kock,c Dhawan b Ashwin,40.0,25.0,5.0,1.0,160.0,20.00%,,,,,,,2,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Rohit Sharma,lbw b Ashwin,0.0,1.0,0.0,0.0,0.0,,,,,,,,1,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Suryakumar Yadav,c Sams b Nortje,51.0,38.0,6.0,2.0,134.21,25.50%,,,,,,,1,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Ishan Kishan,not out,55.0,30.0,4.0,3.0,183.33,27.50%,,,,,,,0,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Hardik Pandya,not out,37.0,14.0,0.0,5.0,264.29,18.50%,,,,,,,0,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Ravichandran Ashwin,,,,,,,,4.0,0.0,29.0,3.0,7.25,30.0,0,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Prithvi Shaw,c â€ de Kock b Boult,0.0,2.0,0.0,0.0,0.0,,,,,,,,0,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Shikhar Dhawan,b Bumrah,0.0,2.0,0.0,0.0,0.0,,,,,,,,1,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Ajinkya Rahane,lbw b Boult,0.0,3.0,0.0,0.0,0.0,,,,,,,,0,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Shreyas Iyer,c Sharma b Bumrah,12.0,8.0,3.0,0.0,150.0,8.39%,,,,,,,0,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Rishabh Pant,c Yadav b KH Pandya,3.0,9.0,0.0,0.0,33.33,2.10%,,,,,,,0,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Marcus Stoinis,b Bumrah,65.0,46.0,6.0,3.0,141.3,45.45%,1.0,0.0,5.0,1.0,5.0,10.0,0,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Axar Patel,c Chahar b Pollard,42.0,33.0,2.0,3.0,127.27,29.37%,3.0,0.0,27.0,0.0,9.0,,0,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Daniel Sams,c â€ de Kock b Bumrah,0.0,2.0,0.0,0.0,0.0,,4.0,0.0,44.0,0.0,11.0,,2,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Kagiso Rabada,not out,15.0,15.0,2.0,0.0,100.0,10.49%,4.0,0.0,42.0,0.0,10.5,,1,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Anrich Nortje,not out,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,50.0,1.0,12.5,10.0,0,Mumbai Indians
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Trent Boult,,,,,,,,2.0,1.0,9.0,2.0,4.5,20.0,0,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Jasprit Bumrah,,,,,,,,4.0,1.0,14.0,4.0,3.5,40.0,0,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Krunal Pandya,c Sams b Stoinis,13.0,10.0,0.0,1.0,130.0,6.50%,4.0,0.0,22.0,1.0,5.5,10.0,0,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Nathan Coulter-Nile,,,,,,,,4.0,0.0,27.0,0.0,6.75,,0,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Kieron Pollard,c Rabada b Ashwin,0.0,2.0,0.0,0.0,0.0,,4.0,0.0,36.0,1.0,9.0,10.0,0,Delhi Capitals
Mumbai Indians,Delhi Capitals,"Dubai International Cricket Stadium, Dubai","5th November, 2020",Mumbai Indians,Rahul Chahar,,,,,,,,2.0,0.0,35.0,0.0,17.5,,1,Delhi Capitals
Delhi Capitals,Sunrisers Hyderabad,"Sheikh Zayed Stadium, Abu Dhabi","8th November, 2020",Delhi Capitals,Shikhar Dhawan,lbw b Sandeep Sharma,78.0,50.0,6.0,2.0,156.0,41.27%,,,,,,,0,Sunrisers Hyderabad
