batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Chris Gayle,b Kulkarni,27.0,26.0,4.0,1.0,103.85,15.00%,,,,,,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Virat Kohli,c & b Kulkarni,12.0,18.0,0.0,0.0,66.67,6.67%,,,,,,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,AB de Villiers,run out,66.0,38.0,4.0,4.0,173.68,36.67%,,,,,,,2,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Mandeep Singh,not out,54.0,34.0,7.0,2.0,158.82,30.00%,,,,,,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Dinesh Karthik,c Rahane b Morris,8.0,3.0,0.0,1.0,266.67,4.44%,,,,,,,3,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Sarfaraz Khan,not out,1.0,1.0,0.0,0.0,100.0,0.56%,,,,,,,0,Rajasthan Royals
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Ajinkya Rahane,c de Villiers b Chahal,42.0,39.0,4.0,0.0,107.69,38.53%,,,,,,,1,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Shane Watson,c â€ Karthik b Aravind,10.0,5.0,2.0,0.0,200.0,9.17%,4.0,0.0,32.0,0.0,8.0,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Sanju Samson,c â€ Karthik b Patel,5.0,8.0,0.0,0.0,62.5,4.59%,,,,,,,0,Royal Challengers Bangalore
Royal Challengers Bangalore,Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune","20th May, 2015",Royal Challengers Bangalore,Steve Smith,c de Villiers b Wiese,12.0,13.0,1.0,0.0,92.31,11.01%,,,,,,,0,Royal Challengers Bangalore
