batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Ruturaj Gaikwad,c Miller b Sharma,60.0,44.0,7.0,1.0,136.36,34.88%,,,,,,,1,Gujarat Titans
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Devon Conway,c Rashid Khan b Mohammed Shami,40.0,34.0,4.0,0.0,117.65,23.26%,,,,,,,2,Gujarat Titans
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Shivam Dube,b Noor Ahmad,1.0,3.0,0.0,0.0,33.33,0.58%,,,,,,,0,Gujarat Titans
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Ajinkya Rahane,c Shubman Gill b Nalkande,17.0,10.0,0.0,1.0,170.0,9.88%,,,,,,,0,Gujarat Titans
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Ambati Rayudu,c Shanaka b Rashid Khan,17.0,9.0,1.0,1.0,188.89,9.88%,,,,,,,0,Gujarat Titans
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,M S Dhoni,c Pandya b Sharma,1.0,2.0,0.0,0.0,50.0,0.58%,,,,,,,0,Gujarat Titans
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Moeen Ali,not out,9.0,4.0,0.0,1.0,225.0,5.23%,,,,,,,0,Gujarat Titans
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Mohit Sharma,,,,,,,,4.0,0.0,31.0,2.0,7.75,20.0,0,Chennai Super Kings
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Wriddhiman Saha,c Pathirana b Chahar,12.0,11.0,2.0,0.0,109.09,7.64%,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Shubman Gill,c Conway b Chahar,42.0,38.0,4.0,1.0,110.53,26.75%,,,,,,,1,Chennai Super Kings
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Hardik Pandya,c Jadeja b Theekshana,8.0,7.0,1.0,0.0,114.29,5.10%,,,,,,,1,Chennai Super Kings
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,Dasun Shanaka,c Theekshana b Jadeja,17.0,16.0,1.0,1.0,106.25,10.83%,,,,,,,1,Chennai Super Kings
Chennai Super Kings,Gujarat Titans,"MA Chidambaram Stadium, Chennai","23rd May, 2023",Chennai Super Kings,David Miller,b Jadeja,4.0,6.0,0.0,0.0,66.67,2.55%,,,,,,,1,Chennai Super Kings
