batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Michael Hussey,not out,86.0,58.0,10.0,2.0,148.28,44.79%,,,,,,,2,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Murali Vijay,c Smith b Pollard,23.0,20.0,2.0,0.0,115.0,11.98%,,,,,,,2,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Suresh Raina,not out,82.0,42.0,5.0,5.0,195.24,42.71%,,,,,,,2,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,M S Dhoni*â€ ,,,,,,,,,,,,,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Subramaniam Badrinath,,,,,,,,,,,,,,0,Mumbai Indians
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Dwayne Smith,c Raina b Jadeja,68.0,28.0,6.0,5.0,242.86,47.22%,,,,,,,1,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Aditya Tare,c Vijay b Morkel,7.0,7.0,1.0,0.0,100.0,4.86%,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Dinesh Karthik,lbw b Jadeja,11.0,18.0,1.0,0.0,61.11,7.64%,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Rohit Sharma,c Bravo b Morris,8.0,15.0,0.0,0.0,53.33,5.56%,,,,,,,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Kieron Pollard,c Hussey b Jadeja,24.0,16.0,1.0,2.0,150.0,16.67%,3.0,0.0,28.0,1.0,9.33,10.0,0,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,"Arun Jaitley Stadium, Delhi","21st May, 2013",Chennai Super Kings,Ambati Rayudu,c Morris b Sharma,15.0,14.0,1.0,0.0,107.14,10.42%,,,,,,,0,Chennai Super Kings
